Name of Firm,unknown,unknown,"Address, line 1","Address, line 2",City,State,Zip,Capabilities Narrative,E-mail Address,CAGE Code,Congr. Dist.,County Code,UEI,E-Mall Page URL,Fax Number,Fiscal Year Ends,In TECH-Net?,Incorp. Country,Incorp. State,Last Updated,Main/Branch,Metro Stat Area,Phone Number,Trade Name,WWW Page URL,Year Established,Legal Structure,"Business Type (Service, Construction, etc)","Ownership/Self-Certs (Minority, Veteran, Woman, etc)","NAICS, All (for which firm is small)","NAICS, Buy Green and Small","NAICS, Primary and Small",FullAddress,ZipOnly
ABLE VET CONTRACTING INC,MICHAEL CHARRETTE,,715 TERRA LN,,EL CAJON,CA,92019-1060,,ablevetci@gmail.com,7A1B3,48,073,N5FHXG564EX8,,,1231,,USA,CA,01/17/2025,Branch,7320,619-401-7686,,,2014,CP,,"Self-Certified Small Disadvantaged Business, Service-Disabled Veteran, Veteran","236115, 236210, 236220, 237110, 237990, 237990, 238130, 238220, 238310, 238320, 238350, 238990, 238990",,,"715 TERRA LN, , EL CAJON, CA 92019-1060",92019
"BRAINPAN, INC.",MAURA WESTPHALL,,1932 SIESTA CALLE,,EL CAJON,CA,92019-1168,"CORE COMPETENCIES Creating custom Agile software packages for government and commercial businesses since 2015. Assisting customers to realize custom software can be attained by any business rather than changing one's systems to fit into a 'boxed' software solution. We work with our customers to understand their business and weave software solutions into their existing process, saving them time and frustration on the backend. - Database Design, Development & Maintenance - Web Application, Design & Development - Data Management PAST PERFORMANCE - NAVAIR - PMA 213 - PACFLT Environmental - Lockheed Martin - Bycor General Contractors - construction COMPANY DATA - WOSB - Serve customers in the U.S., Japan and Guam",maura@brainpan.com,7JM44,48,073,TJ7JU4R7ZHK3,,,1231,,USA,CA,01/28/2025,Branch,7320,619-672-9423,BRAINPAN INC,www.brainpan.com,2015,SC,Service,"Self-Certified Small Disadvantaged Business, Woman Owned","518210, 541330, 541330, 541330, 541330, 541511, 541512, 541519, 541519, 611420",,,"1932 SIESTA CALLE, , EL CAJON, CA 92019-1168",92019
"LEADHERSHIP ADVENTURES, LLC",ALYCIA HUSTON,,1722 FUERTE VALLEY DR,,EL CAJON,CA,92019-3771,,alycia@alyciahuston.com,8BWK2,48,073,MK7XHCHJSQ95,,619-334-8090,1231,,USA,CA,07/16/2024,Branch,7320,619-490-8058,LEADHERSHIP ADVENTURES LLC,https://theculturecru.com,2017,SC,,"Black American, Woman Owned","541611, 611430",,,"1722 FUERTE VALLEY DR, , EL CAJON, CA 92019-3771",92019
STREIF ENTERPRISES INC,RUDOLF STREIF,,1979 CORONA VIS,,EL CAJON,CA,92019-4264,Computer hardware and software development,rudolf.streif@ibeeto.com,8DPM4,48,073,TSTLLW6NHFS6,http://www.ibeeto.com,,1231,,USA,CA,12/12/2024,Branch,7320,855-442-3386,,www.ibeeto.com,2011,SC,"R and D, Service","Self-Certified Small Disadvantaged Business, Woman Owned","541511, 541512, 541519, 541519, 611420",,,"1979 CORONA VIS, , EL CAJON, CA 92019-4264",92019
SAFETY TACTICAL OPERATION STO INC,HAMSA ALAJUBORY,,2454 HILTON HEAD PL APT 1060,,EL CAJON,CA,92019-4438,,laythalani80@gmail.com,8H0B2,48,073,KZX3T9CMNBR3,,,1231,,USA,CA,01/18/2025,Branch,7320,619-212-2396,,,2019,SC,,"Self-Certified Small Disadvantaged Business, Woman Owned","237110, 237990, 237990, 611699, 611710",,,"2454 HILTON HEAD PL APT 1060, , EL CAJON, CA 92019-4438",92019
DAVID LEE DUKE,DAVID DUKE,,3348 RANCHO DIEGO CIR,,EL CAJON,CA,92019-5125,,ddauvkied4012@gmail.com,8LNN7,48,073,NHG7FAE59LC7,,,0930,,USA,CA,11/08/2024,Branch,7320,619-405-3119,,,2020,SL,,"Self-Certified Small Disadvantaged Business, Veteran",561611,,,"3348 RANCHO DIEGO CIR, , EL CAJON, CA 92019-5125",92019
BONGIOVANNI MARIA C,MARIA BONGIOVANNI,,1941 VISTA GRANDE RD,,EL CAJON,CA,92019-3822,,mariaceliabongiovanni@gmail.com,8NJE0,48,073,NAHEHFE991A7,,,0630,,USA,CA,11/28/2024,Branch,7320,619-954-1439,,,2020,SL,,"Hispanic American, Other Minority Owned, Woman Owned","561990, 621112",,,"1941 VISTA GRANDE RD, , EL CAJON, CA 92019-3822",92019
CROSS REGIONAL LOGISTICS L.L.C.,VINCENT CAMPBELL,,12034 CALLE DE MONTANA,UNIT 281,EL CAJON,CA,92019-4924,,vcampbell81@gmail.com,8QN69,48,073,KH4AXRWKYNH1,,,1231,,USA,CA,11/21/2024,Branch,7320,619-312-5633,CROSS REGIONAL LOGISTICS LLC,www.crossregionallogistics.com,2020,LL,,Self-Certified Small Disadvantaged Business,423430,,,"12034 CALLE DE MONTANA, UNIT 281, EL CAJON, CA 92019-4924",92019
"GEM TEAM, INC.",ANSAM ESSHAKI,,3095 PALM VISTA CT,,EL CAJON,CA,92019-4644,"Woman-Owned Business offering: Technology consulting services, Contract, Contract to Hire, Technology Placement services for contract, Hardware and Software Development.",Amy.Esshaki@GemTeamInc.com,8ZFG3,48,073,HYMDWM5R9MN9,https://gemteaminc.com/,,1231,,USA,CA,07/04/2024,Branch,7320,619-985-7907,ITGEM INC,https://gemteaminc.com/,2018,SC,Service,"Self-Certified Small Disadvantaged Business, Woman Owned","541512, 541513, 541519, 541519, 541611, 561320",,,"3095 PALM VISTA CT, , EL CAJON, CA 92019-4644",92019
ERAGON HOLDINGS INC,MICHAEL PATTON,,1912 JALISCO RD,,EL CAJON,CA,92019-3746,,michael@pothos.us,976H3,48,073,Z6B5J9JJ62B8,,,1231,,USA,CA,05/24/2024,Branch,7320,619-546-0621,,www.eragon.us,2021,SC,,"Self-Certified Small Disadvantaged Business, Service-Disabled Veteran, Veteran","488510, 488510, 561510, 561920",,,"1912 JALISCO RD, , EL CAJON, CA 92019-3746",92019
ROSANNA SCHORR,ROSANNA SCHORR,,3235 VISTA MATAMO,,EL CAJON,CA,92019-2863,,rmschorr@cox.net,9DFR6,48,073,N7NZNN9TLD63,,,1231,,USA,CA,06/26/2024,Branch,7320,619-733-9720,,,2022,SL,,,561492,,,"3235 VISTA MATAMO, , EL CAJON, CA 92019-2863",92019
ARMA GROUP INC,AHMED ALGHALLAY,,2317 SAWGRASS ST,,EL CAJON,CA,92019-4560,,Ahmed@armagroupinc.com,9EE91,48,073,DA5MXY8Y7R68,,,0923,,USA,CA,12/25/2024,Branch,7320,619-212-9095,,,2022,CP,,"Self-Certified Small Disadvantaged Business, Woman Owned","236210, 236220, 237110, 237990, 237990, 238390, 541330, 541330, 541330, 541330, 541350, 541611, 541612, 541620, 561790",,,"2317 SAWGRASS ST, , EL CAJON, CA 92019-4560",92019
MARK MELANESE,MARK MELANESE,,1811 BEARCAT LANE,,EL CAJON,CA,92019-4238,,balloonitsd@cox.net,9ELG7,48,073,TF19VFWVADK6,,,1231,,,,07/09/2024,Branch,7320,619-464-2552,,,1983,SL,,Self-Certified Small Disadvantaged Business,541490,,,"1811 BEARCAT LANE, , EL CAJON, CA 92019-4238",92019
REFINED MANAGEMENT,MARK ARABO,,678 JAMACHA RD,,EL CAJON,CA,92019-2459,,mark@refinedmgmt.com,9HZG4,51,073,UL6XK6YSZSN3,,,1231,,USA,CA,04/12/2024,Branch,7320,619-729-6275,,,2015,SC,,"Other Minority Owned, Self-Certified Small Disadvantaged Business",722310,,,"678 JAMACHA RD, , EL CAJON, CA 92019-2459",92019
TRISON ROECO INVESTMENTS INC.,DANIELLE THOMPSON,,1509 E WASHINGTON AVE UNIT 2,,EL CAJON,CA,92019-2549,,thompsondanielle00@gmail.com,9LNA8,51,073,VT7MCWRW4L47,,,0923,,USA,CA,05/09/2024,Branch,7320,619-647-6513,,www.trisonroeco.com,2019,CP,,"Black American, Self-Certified Small Disadvantaged Business, Woman Owned","531210, 531311, 531312, 531390",,,"1509 E WASHINGTON AVE UNIT 2, , EL CAJON, CA 92019-2549",92019
SQUEAKY CLEAN INC,RAFAEL RUIZ,,1704 THE WOODS DR,,EL CAJON,CA,92019-3670,"Since 2013, as a family- owned and operated business, Squeaky Clean Inc., we provide high quality commercial and industrial cleaning services across San Diego, California. We provide services for offices, public restrooms, lobbies, conference rooms, animal shelters, dental offices, clinics, and more, are cleaned to your highest expectations.",Rafael@gosqueaky.com,9MP27,48,073,YP8QY3KLL647,https://gosqueaky.com/,,1231,,USA,CA,07/18/2024,Branch,7320,760-562-4622,,https://gosqueaky.com/,2021,CP,,Self-Certified Small Disadvantaged Business,561720,,,"1704 THE WOODS DR, , EL CAJON, CA 92019-3670",92019
KOLIMPR'I LLC,SCHMEKA MILLER,,11374 VIA RANCHO SAN DIEGO,UNIT E,EL CAJON,CA,92019-5213,,kolimpri2020@gmail.com,9N5X8,48,073,EXRDV4ZKCX79,,,1231,,USA,CA,01/31/2025,Branch,7320,619-348-1372,KOLIMPRI LLC,,2020,LL,,"Black American, Other Minority Owned, Self-Certified Small Disadvantaged Business, Woman Owned","423450, 424310, 424990, 812112, 812199",,,"11374 VIA RANCHO SAN DIEGO, UNIT E, EL CAJON, CA 92019-5213",92019
CHARLENE WADDELL,CHARLENE WADDELL,,1468 GUSTAVO ST UNIT A,,EL CAJON,CA,92019-3234,,charlene@charlenewaddell.com,9NL94,51,073,GLWAQGMNH664,,,1231,,USA,CA,06/29/2024,Branch,7320,619-244-2839,CHARLENE SPEAKS,,2018,SL,,"Black American, Self-Certified Small Disadvantaged Business, Woman Owned",611430,,,"1468 GUSTAVO ST UNIT A, , EL CAJON, CA 92019-3234",92019
THE PROSTHETICS & ORTHOTICS CORPORATION,LISA ALYADAKO,,766 JAMACHA RD,,EL CAJON,CA,92019-3201,,lisa@sandiegopo.com,9RQV7,51,073,LB9CVZKN21Z4,,,1231,,USA,CA,11/26/2024,Branch,7320,619-768-7068,SAN DIEGO PROSTHETICS AND ORTHOTICS,,2023,CP,,"Hubzone Joint Venture, Self-Certified Small Disadvantaged Business, Woman Owned",339113,,,"766 JAMACHA RD, , EL CAJON, CA 92019-3201",92019
KDM SERVICE SOLUTIONS LLC,KRISTEN TROUT,,1540 GREENCREST CT,,EL CAJON,CA,92019-4108,,kdmservicesolutions@gmail.com,9UFM6,48,073,GTA1ZQA9G7R1,,,1231,,USA,CA,03/22/2024,Branch,7320,619-438-5948,,,2024,LL,,"Black American, Self-Certified Small Disadvantaged Business, Woman Owned","541611, 561710, 561720, 561730, 561740, 561990, 562910, 562910, 562991, 562998, 711130, 812210, 812320, 812990, 813110",,,"1540 GREENCREST CT, , EL CAJON, CA 92019-4108",92019
ANCHOR 28 ENTERPRISES LLC,JACOB NORGAARD,,1109 SUNDALE RD,,EL CAJON,CA,92019-3766,,anchor28enterprises@gmail.com,9URW3,48,073,JRWSHWS13E73,,,1231,,USA,CA,04/10/2024,Branch,7320,219-241-3308,,,2024,LL,,"Service-Disabled Veteran, Veteran","336611, 518210, 541513, 541611, 541618, 541690, 541990, 561110, 561210, 561320, 561499, 561720, 561730, 561790, 611420, 611430",,,"1109 SUNDALE RD, , EL CAJON, CA 92019-3766",92019
"T&J PROPERTIES, INC.",JEDIDIAH CELIMA,,810 JAMACHA RD STE 102,,EL CAJON,CA,92019-3223,,jed@tjpropertypartners.com,9W3W9,51,073,P4MYBH4AFQU6,,,1231,,USA,CA,05/10/2024,Branch,7320,619-820-4749,,,2017,SC,,"Self-Certified Small Disadvantaged Business, Veteran, Woman Owned","236220, 332311, 561790",,,"810 JAMACHA RD STE 102, , EL CAJON, CA 92019-3223",92019
NASH HEATING & AIR CONDITIONING,HADEER AL NASHI,,594 ALDERSON ST,,EL CAJON,CA,92019-2347,,Hadeer@nashair.net,9WF06,51,073,JUTBF2CP22Y8,,,1224,,USA,CA,05/17/2024,Branch,7320,619-388-9976,,,2024,SC,,"Other Minority Owned, Self-Certified Small Disadvantaged Business",238220,,,"594 ALDERSON ST, , EL CAJON, CA 92019-2347",92019
SHIELD TECH SOLUTIONS LLC,MIGUEL SCATLIFFE,,280 EDITHA DR,,EL CAJON,CA,92019-1531,,Miguel.scatliffe@shieldtechsolutionsllc.com,9WVC0,48,073,C7FRF7M97D98,,,1225,,USA,CA,05/29/2024,Branch,7320,619-249-7546,,,2024,LL,,"Hispanic American, Other Minority Owned, Self-Certified Small Disadvantaged Business, Service-Disabled Veteran, Veteran","336611, 541611, 611430",,,"280 EDITHA DR, , EL CAJON, CA 92019-1531",92019
FRANCIS ATTISHA,ABBY ATTISHA,,1684 BURRIS DR,,EL CAJON,CA,92019-3596,,abbyrentals@hotmail.com,61C14,48,073,XQXKLH79NVH5,,,1231,,,,06/07/2024,Branch,7320,619-820-6790,,,2003,SL,,Self-Certified Small Disadvantaged Business,"531120, 531120, 531312",,,"1684 BURRIS DR, , EL CAJON, CA 92019-3596",92019
"STRAIGHT ROAD TRANSPORTATION, INC.",HAIDER SOLAGH,,1757 VALKYRIA LN,,EL CAJON,CA,92019-4144,,ayah619@hotmail.com,9X8W5,48,073,S42EB6R14714,,,1231,,USA,CA,06/14/2024,Branch,7320,619-933-4976,,,2016,SC,,Self-Certified Small Disadvantaged Business,"484110, 484121, 484122, 488490, 488510, 488510",,,"1757 VALKYRIA LN, , EL CAJON, CA 92019-4144",92019
"TALENTPRO HOLDINGS, LLC",ELIZABETH CUEVAS,,156 S GINA AVE,,EL CAJON,CA,92019-1931,,liz@talentprorecruiting.com,9Z0U8,51,073,C69TW4U69D84,,,1231,,USA,CA,11/02/2024,Branch,7320,619-721-5776,,,2022,SL,,"Hispanic American, Other Minority Owned, Self-Certified Small Disadvantaged Business, Woman Owned","561311, 561312, 561320, 611430",,,"156 S GINA AVE, , EL CAJON, CA 92019-1931",92019
STAT TRUCKING LLC,TODD ALLEN,,2713 BLACKBUSH LN,,EL CAJON,CA,92019-2825,,todd@stattrucking.com,9ZF18,48,073,QNRNFNN1F2W9,,,1231,,USA,CA,08/23/2024,Branch,7320,619-813-9691,,,2021,LL,,Self-Certified Small Disadvantaged Business,"484110, 484121, 484122, 484220, 484230",,,"2713 BLACKBUSH LN, , EL CAJON, CA 92019-2825",92019
HALBERT CONSTRUCTION COMPANY INC,MICHAEL HALBERT,,3058 RANCHO DIEGO CIR,,EL CAJON,CA,92019-5114,"Halbert Company, was incorporated in 1987 and has grown considerably since. Halbert Company also proudly bears the designation as a service disabled veteran owned business entity, as result of Mr. Halbert’s service in Vietnam. Mr. Halbert has also been a strong advocate of the SDVOBE set-aside program currently is use by the federal government. Michael Halbert shaped the way Halbert does business today. Technology may have changed the way construction is managed today, but relationships between the client and contractor are still based on traditional values instilled and practiced daily by the Halbert team. Today, the Halbert team is comprised of dedicated and seasoned industry professionals providing full-service general contracting, construction management, and design/build. We are also experienced in many other trades. This is exemplified by our many long-term continuous relationships with our clients and the quality references that they are willing to provide.",mhalbert@halbertco.com,0U754,48,073,WZDSYAVKM6T6,,,1231,,USA,CA,09/17/2024,Branch,7320,619-884-8900,,,1987,CP,"Construction, Service","Self-Certified Small Disadvantaged Business, Service-Disabled Veteran, Veteran","236118, 238110, 238130, 238210, 238310, 238320, 238350, 238990, 238990",,,"3058 RANCHO DIEGO CIR, , EL CAJON, CA 92019-5114",92019
VENDOR REGISTRATION EXPERT,SAJID AHMADZAI,,1302 SHANESSEY RD,,EL CAJON,CA,92019-3107,"We specialize in a broad range of products and services tailored for diverse needs. Our offerings include: Furniture and Equipment Supply: Providing quality furniture, commercial gym equipment, and specialized items like photo boards, flag, and bell stands. IT and Software Solutions: Developing custom software, robust websites, and supplying comprehensive IT hardware and software, aimed at enhancing tactical and digital operations. Uniform and Ceremonial Supplies: Supplying uniforms, military apparel, ceremonial equipment, and advanced visual communication tools. Logistics and Operational Support: Expertise in tactical supply, military logistics, operational readiness, defense procurement, supply chain management, and equipment fulfillment.",support@vre.us,09M73,51,073,CHCUC5JJL758,https://www.vre.us,,1231,,USA,CA,11/15/2024,Branch,7320,619-918-5013,,www.vre.us,2024,CP,,"Asian Pacific American, Other Minority Owned, Self-Certified Small Disadvantaged Business","423490, 423910, 513210, 541990, 611430",,,"1302 SHANESSEY RD, , EL CAJON, CA 92019-3107",92019
"ATTISHA SERVICES, INC",ANDY ATTISHA,,11720 MONTE VIEW CT,,EL CAJON,CA,92019-5034,,ATTISHAANDY@GMAIL.COM,0MQN3,48,073,CEM5ELB64DR1,,,1231,,USA,CA,12/13/2024,Branch,7320,619-900-8095,,,2018,SC,,"Other Minority Owned, Self-Certified Small Disadvantaged Business",488410,,,"11720 MONTE VIEW CT, , EL CAJON, CA 92019-5034",92019
ONR LLC,OMAR ALSHYKHLY,,1509 E WASHINGTON AVE UNIT 15,,EL CAJON,CA,92019-2549,,onrllc2022@gmail.com,0Q1L8,51,073,HSMVP39UPCA9,,,1231,,USA,CA,01/03/2025,Branch,7320,801-347-3934,,,2022,CP,,"Community Development Corporation Owned Firm, Self-Certified Small Disadvantaged Business","611210, 611310, 624120, 624410, 721199, 811114, 811121, 811198, 812930",,,"1509 E WASHINGTON AVE UNIT 15, , EL CAJON, CA 92019-2549",92019
619 TRANSPORTATION SALES & SERVICES,BETHANY HARRIS,,11580 FURY LN UNIT 163,,EL CAJON,CA,92019-4348,,creativedesignsbybk@gmail.com,0Q1D2,48,073,H5T2MNJJSYN1,,,1231,,USA,CA,01/03/2025,Branch,7320,619-240-9896,,619creativedesign.com,2024,PS,,"Black American, Self-Certified Small Disadvantaged Business, Woman Owned","315250, 315990, 337212, 424350, 458110",,,"11580 FURY LN UNIT 163, , EL CAJON, CA 92019-4348",92019
"SOUND GENETICS, INC",BRAD DISKIN,,743 VISTA GRANDE RD,,EL CAJON,CA,92019-3530,,bdiskin@uroklearning.com,0QFQ3,48,073,RRF4RAA7RLR1,,,1231,,USA,DE,01/10/2025,Branch,7320,619-889-4961,,soundgenticsinc.com,2018,CP,,Self-Certified Small Disadvantaged Business,"513210, 541511, 611420",,,"743 VISTA GRANDE RD, , EL CAJON, CA 92019-3530",92019
BRIGHTPATH CONSULTING GROUP LLC,ZAINALABDIN ALTOBLANI,,3450 RANCHO DIEGO CIR,,EL CAJON,CA,92019-5129,,zaltoblany@brightpathconsultinggroupllc.org,0QQ36,48,073,CYEDPWUE4V88,,,0125,,USA,CA,02/21/2025,Branch,7320,619-633-5374,,,2024,LL,,"Other Minority Owned, Self-Certified Small Disadvantaged Business, Woman Owned","236220, 237110, 238220, 423430, 423690, 423810, 423820, 423830, 423840, 423850, 423860, 484121, 485991, 488190, 493110, 541330, 541330, 541330, 541330, 541511, 541513, 541519, 541519, 541611, 541612, 541613, 541614, 541618, 541990, 561110, 561210, 561320, 561612, 561730",,,"3450 RANCHO DIEGO CIR, , EL CAJON, CA 92019-5129",92019
QUICK N GO TOWING,TRINA KHANSARI,,1291 E LEXINGTON AVE,,EL CAJON,CA,92019-2203,,Trina@hcmlinc.com,0QY58,51,073,ZU1CWBEP39W4,,,0430,,USA,CA,01/31/2025,Branch,7320,619-532-4595,QUICKN GO AUTO REPAIR,,2022,SC,,"Other Minority Owned, Self-Certified Small Disadvantaged Business, Subcontinent Asian American","811111, 811114, 811122, 811191, 811198",,,"1291 E LEXINGTON AVE, , EL CAJON, CA 92019-2203",92019
GILDARK FINANCIAL SOLUTIONS GROUP LLC,BRANDON BRANDON GILDARK,,1375 E WASHINGTON AVE,,EL CAJON,CA,92019-3135,,brandon@gildarkfinancialsolutionsgroup.com,10HG7,51,073,GFJ1RMK8DCL7,,,1231,,USA,CA,03/07/2025,Branch,7320,619-672-2933,,,2022,LL,,"Self-Certified Small Disadvantaged Business, Woman Owned","541211, 541213, 541214, 541219",,,"1375 E WASHINGTON AVE, , EL CAJON, CA 92019-3135",92019
"THE REGIMENT COMPANY, LLC",JOSEPH JONES,,5 WHARTON RD,,SAN DIEGO,CA,92140-5004,,joseph@theregimentco.com,9UWU1,50,073,M69QKHDN5WB5,,,1231,,USA,CA,02/22/2025,Branch,7320,301-706-0473,,,2023,LL,,"Black American, Other Minority Owned, Self-Certified Small Disadvantaged Business, Service-Disabled Veteran, Veteran","315990, 458110",,,"5 WHARTON RD, , SAN DIEGO, CA 92140-5004",92140
"CERTIFIED METAL CRAFT, INC.",DALE JACK,Sales Manager,877 VERNON WAY,,EL CAJON,CA,92020-1940,"SPECIALIZE IN HEAT TREAT & BRAZING OF ALL ALLOYS; VACUUM HEAT TREAT & BRAZING; ATMOSPHERE HEAT TREAT & BRAZING (HYDROGEN, ARGON, NITROGEN); ENDOTHERMIC CAPABILITIES; NEUTRAL SALT FACILITIES; INDUCTION PROCESSING.",dalej@certifiedmetalcraft.com,3CPB8,51,073,ZFF2FJMMXGQ6,http://www.certifiedmetalcraft.com,619-593-3635,0731,N,USA,CA,05/01/2024,Branch,7320,619-593-3636,CERTIFIED METAL CRAFT INC,https://certifiedmetalcraft.com/,1969,CP,"R and D, Service",,332811,,,"877 VERNON WAY, , EL CAJON, CA 92020-1940",92020
PROBE MASTER INC,JULIE DAVIS,PRESIDENT,215 DENNY WAY,,EL CAJON,CA,92020-1226,"LEAD, TEST,OSCILLOSCOPE PROBES,BNC CABLES, PRECISION BNC CABLES, TERMINATIONS 50 OHM, TERMINATIONS, 75 OHM, TERMINATIONS 600 OHM. LEAD SET,MULTIMETER TEST LEADS, ELECTRONIC INSTRUMENTS, DIFFERENTIAL PROBES, PROBE LEADS,",jdavis@probemaster.com,62381,48,073,C6BJLS3PX2K7,https://www.probemaster.com,,0331,N,USA,CA,11/21/2024,Branch,7320,619-258-7412,PROBE MASTER INC,www.probemaster.com,1980,CP,Manufacturing,Veteran,334515,,,"215 DENNY WAY, , EL CAJON, CA 92020-1226",92020
"PETER VANDER WERFF CONSTRUCTION, INC.",CHUCK GOSSAGE,PRESIDENT,125 W LEXINGTON AVE,,EL CAJON,CA,92020-4409,"CONSTRUCTION SERVICES INCLUDING DESIGN & BUILD, RFP, NON-APPROPRIATED FUNDS, RENOVATION & NEW, & DEFAULT COMPLETION CONTRACTS. IN & AROUND THE SAN DIEGO, CALIFORNIA REA",chuck@pvwconstruction.com,0ZHK9,51,073,PWHSBH6HKQF9,,619-334-9287,1231,N,USA,CA,04/11/2024,Branch,7320,949-702-5047,VANDER WERFF PETER CONSTRUCTION INC,,1994,SC,Construction,,"221114, 236116, 236210, 236220, 237110, 237120, 237130, 237310, 237990, 237990, 238110, 238210",,,"125 W LEXINGTON AVE, , EL CAJON, CA 92020-4409",92020
"ALLIANCE COATINGS, INC.",CHASE HERBERT, Vice President,1666 N MAGNOLIA AVE STE G,,EL CAJON,CA,92020-1267,"Corrosion Control: KwikKit, 2 oz., 2 component and 1 component topcoat or primer touch-up kit for aircraft. Paint related products for aircraft.",Chase@alliancecoatings.com,0WJJ3,48,073,RNK7CLADRBA6,,,1231,N,USA,CA,06/13/2024,Branch,7320,619-596-9191,,http://www.alliancecoatings.com,1991,CP,,"Self-Certified Small Disadvantaged Business, Service-Disabled Veteran, Veteran","325510, 327910, 333991, 423710, 423830, 423840, 424950, 444120, 811121",,,"1666 N MAGNOLIA AVE STE G, , EL CAJON, CA 92020-1267",92020
PUBLIC WORKS CONTRACTOR INC,CRAIG ROGERS,Owner,1099 N CUYAMACA ST,,EL CAJON,CA,92020-1803,"Piping & site utility contractors specializing in steam, condensate, H.H.W., H.T.H.W., C.H.W., C.W., N.G., Install HVAC and industrial equip: chillers, cooling tower, boilers, heat exchangers, pumps, expansion tanks, air separators & pesticide removal.",pwc@publicworkscontractorinc.com,0VL21,51,073,GGNVGMHNG1N1,,,1231,,USA,CA,02/26/2025,Branch,7320,619-669-6995,,,1987,SC,Construction,Self-Certified Small Disadvantaged Business,"221310, 221320, 221330, 236210, 236220, 237110, 238220, 238910",,,"1099 N CUYAMACA ST, , EL CAJON, CA 92020-1803",92020
"CARROLL BUSINESS SUPPLY, INC.",TONYA LANGDON,,1950 CORDELL CT,STE 102,EL CAJON,CA,92020-0923,"All offifice supplies, rubber stapmps, furniture, custom forms and checks",tonya@carrollbusiness.net,0AVV0,51,073,W8LSP6MK3US5,http://tonya-cbs@sbcglobal.net,,0531,,USA,CA,08/27/2024,Branch,7320,800-995-4227,,www.carrollbusinesssupply.com,2002,SC,Service,Self-Certified Small Disadvantaged Business,"339940, 424690, 449110, 459410",,,"1950 CORDELL CT, STE 102, EL CAJON, CA 92020-0923",92020
SKDY OF SAN DIEGO INC,JOHN LETHERT,,1940 WELD BLVD,,EL CAJON,CA,92020-1055,,john@skylinesandiego.com,1RCY8,51,073,JPJRFAV7A9R8,,,1231,,USA,CA,05/29/2024,Branch,7320,619-719-2083,SKDY OF SAN DIEGO INC,http://www.skylinesandiego.com,1996,SC,,Self-Certified Small Disadvantaged Business,"337215, 339950, 561920",,,"1940 WELD BLVD, , EL CAJON, CA 92020-1055",92020
BJS & T ENTERPRISES INC,PHILIP JOHNSON,,1702 N MAGNOLIA AVE STE 102,,EL CAJON,CA,92020-1287,"San Diego Powder Coatings is a full-service shop and field services company, offering the following coating services: San Diego County’s Largest SSPC QP3 Facility Sandblasting/Painting Capacity up to 48’ in length Performance and thermal coatings including candies & clear Over 400 In-stock powder coat colors and custom color matching Servicing Commercial, industrial, military, and walk-in customers Zinc Rich Corrosion Preventative Coatings-3M Scotchkote; Coal Tar Epoxies, High Performance Coatings Very Affordable Pick-up/Delivery Rotary Shot Blasting We service Military, Commercial Fabrication and Welding Companies, Machine Shops, and Do it yourself projects. Our service freindly walk in lobby and professional technical personnel will help you with any personal or professional job. Home owners to Engineers and Architects and all clients in between.",pjohnson@sandiegopowdercoating.com,1S2E9,48,073,S2LCTGH4RWT8,http://www.sandiegopowdercoating.com,619-956-0986,1231,,USA,CA,11/21/2024,Branch,7320,619-956-0987,SAN DIEGO POWDER COATING,http://www.sandiegopowdercoating.com,2001,SC,"Construction, Manufacturing, Service",,"213112, 237120, 238120, 238320, 238990, 238990, 325510, 332812, 332813, 336611, 336612, 423860, 493110, 493190, 811111, 811121",,,"1702 N MAGNOLIA AVE STE 102, , EL CAJON, CA 92020-1287",92020
"SCGT, INC.",SCOTT WELLS,,1405 N CUYAMACA ST,,EL CAJON,CA,92020-1508,"Installation of Solar, Decorative, Privacy, and Security Window Films, and signage on glass.",scottwells@mac.com,05NA8,51,073,C8UDUZA9NN84,http://www.starcodistributing.com,,1231,,USA,CA,10/10/2024,Branch,7320,619-937-0607,SCGT INC,,2001,SC,Service,Self-Certified Small Disadvantaged Business,"238150, 238990, 238990",,,"1405 N CUYAMACA ST, , EL CAJON, CA 92020-1508",92020
"ANN FAGELSON GOVERNMENT SEMINARS, INC",DANIEL FAGELSON,,1114 ERIN DR,,EL CAJON,CA,92020-1771,"WE ARE A SMALL WOMAN OWNED BUSINESS, SPECIALIZING IN EDUCATIONAL SEMINARS FOR THE FEDERAL GOVERNMENT. IN BUSINESS FOR MORE THAN 25 YEARS, WE TRAVEL ALL OVER THE WORLD PRESENTING PRE-RETIREMENT PLANNING SEMINARS. INFORMATION IS ACCURATE.",info@governmentseminars.com,1XSX3,51,073,KTCLL7CF7LS3,http://www.governmentseminars.com,619-469-8665,1231,,USA,CA,12/20/2024,Branch,7320,619-697-1334,,http://www.governmentseminars.com,1981,CP,Service,,611710,,,"1114 ERIN DR, , EL CAJON, CA 92020-1771",92020
